Name	Group 1	Group 2	Group 3	Group 4	Group 5
Variable 1	67.00%	51.00%	49.00%	79.00%	83.00%
Variable 2	33.00%	6.00%	94.00%	77.00%	50.00%
Variable 3	58.00%	27.00%	34.00%	47.00%	84.00%
Variable 4	60.00%	76.00%	60.00%	45.00%	48.00%
Variable 5	88.00%	91.00%	15.00%	8.00%	53.00%
Variable 6	59.00%	95.00%	62.00%	59.00%	44.00%
Variable 7	97.00%	17.00%	95.00%	77.00%	60.00%
Variable 8	67.00%	58.00%	82.00%	69.00%	5.00%
Variable 9	49.00%	83.00%	41.00%	81.00%	66.00%
Variable 10	80.00%	25.00%	37.00%	98.00%	35.00%
Variable 11	26.00%	32.00%	79.00%	42.00%	53.00%
Variable 12	70.00%	44.00%	55.00%	93.00%	83.00%
Variable 13	77.00%	1.00%	11.00%	16.00%	92.00%
Variable 14	58.00%	45.00%	72.00%	97.00%	23.00%
Variable 15	33.00%	76.00%	62.00%	33.00%	85.00%
Variable 16	90.00%	31.00%	55.00%	5.00%	11.00%
Variable 17	10.00%	65.00%	11.00%	58.00%	23.00%
